Address1,Address2,Style,Price,Beds,Baths,Sqft
1077 County House Ln,"Bowling Green, KY 42101",House,1750,3,2,1590
5430 Crestwick Way,"Cumming, GA 30040",House,2600,3,2.5,1960
3020 Whitfield Ave,"Cumming, GA 30040",House,3400,5,4,
6068 Louisville Rd,"Bowling Green, KY 42101",Apartment,985,2,2,1052
4030 N Milwaukee Ave,"Chicago, IL 60641",Apartment,1375,2,1,900
100 Kelly Rd,"Forest Park, OH 45246",Apartment,1185,Studio,1,646
110 Perry St Unit 1,"Clarksville, AR 72830",Apartment,850,3,1,1244
537 Walnut Creek Dr Unit 537,"Bowling Green, KY 42101",Townhome,1400,3,2,1250
4169 4175 W Cullom,"Chicago, IL 60641",Apartment,2200,3,2,1200
3805 W Sunset Dr,"Rogers, AR 72756",House,2400,4,3,2794
1299 Electric Ave,"Springdale, AR 72764",Apartment,1194,2,2,960
4680 Trefoil Path,"Cumming, GA 30040",House,2795,5,3,2511
811 N Pleasant St,"Springdale, AR 72764",Apartment,1200,2,1,780
4179 W Belmont Ave Unit 4181-201,"Chicago, IL 60641",Apartment,3600,3,2,1720
4175 Candlewood Ln,"Cumming, GA 30040",House,2900,4,2.5,2897
1010 N Turtle Creek Dr,"Rogers, AR 72756",Other,1295,2,1.5,1150
1533 Raymond Rd,"Jackson, MS 39204",Apartment,895,1,1,800
309 Sunny Lane Dr Unit 1,"Jackson, MS 39204",Apartment,775,3,1,
529 Chestnut St Ste 1000,"Bowling Green, KY 42101",Apartment,750,Studio+,,1000
4121 W Cullom Ave,"Chicago, IL 60641",Apartment,1280,1,1,
912 E Mimosa St,"Rogers, AR 72756",Other,1450,2,2,1500
112 Walnut Creek Ct Unit 112,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
5201 W Cullom Ave Apt 2,"Chicago, IL 60641",Apartment,2800,3,2,
2880 Dahlonega Hwy,"Cumming, GA 30040",House,2000,3,1,1472
11777 Rose Ln,"Cincinnati, OH 45246",Apartment,900,1,1,660
1603 W Walnut St,"Rogers, AR 72756",Apartment,Contact For Price,2-Jan,1,654 - 810
4551 W Barry Ave Unit 2,"Chicago, IL 60641",Apartment,975,1,1,720
4225 20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1250,3,2,1100
1271 Kentucky St,"Bowling Green, KY 42101",Other,Contact For Price,,,
4112 N Kedvale Ave Apt 1W,"Chicago, IL 60641",Apartment,1295,1,1,700
2183 Prospector Ct,"Bowling Green, KY 42101",Apartment,900,1,1,561
5225 W Melrose St Unit 1,"Chicago, IL 60641",Apartment,1995,2,1,1500
4121 W Cullom Ave,"Chicago, IL 60641",Apartment,1295,1,1,
4300 W Montrose Ave Unit 3,"Chicago, IL 60641",Apartment,5000,5,2,2620
2363 Foxridge Ct Apt 613,"Bowling Green, KY 42101",Apartment,1025,2,2,977
3925 N Keeler Ave,"Chicago, IL 60641",Apartment,1495,2-Jan,1,845
Circlefield Dr,"Sharonville, OH 45246",House,1895,3,2.5,1517
3250 N Pulaski Rd,"Chicago, IL 60641",Apartment,3000,Studio+,1,3000
3880 Banyan Ct,"Bowling Green, KY 42101",Apartment,850,2,2,1058
1600 Juniper Cir Unit 14316672,"Springdale, AR 72764",House,850,2,1,900
52 Sunflower Dr,"Pottsville, AR 72858",House,1300,3,2,1465
3900 Investor Dr,"Dallas, TX 75237",Condo/Townhome,1023,1,1,614
2120 Canyon Dr,"Amarillo, TX 79109",House,1500,5,2,1872
11580 Olde Gate Dr,"Cincinnati, OH 45246",Apartment,1335,1,1,900
4154 W Berteau Ave Unit B,"Chicago, IL 60641",Condo,3600,3,2.5,
4030-34 N Milwaukee Ave,"Chicago, IL 60641",Apartment,1200,1,1,625
3810 S Thompson Ave Unit 29,"Springdale, AR 72764",House,1375,3,2,
1965 Flowers Dr,"Jackson, MS 39204",House,1150,3,2,1550
4025 N Kedvale Ave,"Chicago, IL 60641",Apartment,1000,Studio+,1,
2958 N Pulaski Rd Unit 2,"Chicago, IL 60641",House,2400,3,1,1200
5422 W Dakin St,"Chicago, IL 60641",Apartment,1350,2,1,
615 SE 12th Ave,"Amarillo, TX 79101",House,650,1,1,600
4146 N Kedvale Ave Apt 2B,"Chicago, IL 60641",Condo,1900,2,1,1100
2586 Adrian Ave,"Springdale, AR 72764",Other,1200,2,1,1080
610 Old Canton Rd,"Carthage, MS 39051",Apartment,725,2,1,1
40 Ratliff St Apt 7,"Blountsville, AL 35031",Condo,700,1,1,725
1117 Greenwood Aly,"Bowling Green, KY 42101",Apartment,1350,3,2,1100
4179 W Belmont Ave Unit 4181-301,"Chicago, IL 60641",Apartment,3900,3,2,1720
1006 Walnut Ave Unit 101,"Springdale, AR 72764",House,795,2,1,744
11580 Olde Gate Dr,"Cincinnati, OH 45246",Apartment,1510,2,2,1100
1765 Clayton Cir,"Cumming, GA 30040",House,1349,4,2,2053
3320 N Leclaire Ave Unit 2N,"Chicago, IL 60641",Apartment,1900,3,1,900
1517 Electric Ave,"Springdale, AR 72764",Apartment,1268,2,2,960
1595 W Highland Dr,"Jackson, MS 39204",Apartment,950,2,1,956
100 Amy Ave Unit Apt,"Bowling Green, KY 42101",House,900,2,1.5,
514 Butterfield Coach Rd,"Springdale, AR 72764",Apartment,1299,2,2,1025
2010 Chadwick Dr,"Jackson, MS 39204",Apartment,1250,3,2,1275
2815 W 4th St,"Russellville, AR 72801",House,1650,4,2.5,2192
3450 N Lowell Ave,"Chicago, IL 60641",Apartment,2100,3,1,1000
6068 Louisville Rd Apt 18,"Bowling Green, KY 42101",Apartment,825,1,1,765
4025 W Melrose St Unit 40313,"Chicago, IL 60641",Apartment,1175,1,1,
7575 S Westmoreland Rd,"Dallas, TX 75237",Apartment,1005,1,1,582
1409 S Lincoln St,"Amarillo, TX 79101",House,1250,4,1.5,1800
3054 N Kolmar Ave,"Chicago, IL 60641",Apartment,1050,1,1,700 - 825
5325 N Oak St,"Springdale, AR 72764",Apartment,985,1,1,673
119 W 10th Ave,"Bowling Green, KY 42101",House,1195,3,2,1152
636 N E St,"Rogers, AR 72756",House,2575,4,3,2625
3810 S Thompson Ave Unit 14,"Springdale, AR 72764",House,1400,3,2,
1225 High St Unit A,"Bowling Green, KY 42101",Apartment,1150,2,1,1200
3810 S Thompson Ave Unit 5,"Springdale, AR 72764",House,1000,2,1,
529 Chestnut St Apt 216,"Bowling Green, KY 42101",Apartment,975,1,1,798
5959 Watership Ln,"Dallas, TX 75237",Apartment,1602,2,2,974
3250 N Pulaski Rd Apt 201,"Chicago, IL 60641",Apartment,1050,Studio,1,400
4225 20 Frontage Rd,"Vicksburg, MS 39183",Apartment,980,1,1,900
6220 Weldon Dr,"Cumming, GA 30040",House,2515,4,2.5,3140
4408 Ross St,"Amarillo, TX 79118",House,1775,3,2,1300
609 N 13th St,"Enid, OK 73701",House,450,2,1,1080
2050 Castle Hill Dr,"Jackson, MS 39204",House,1205,3,2,1375
4141 Rivers Edge Pkwy,"Council Bluffs, IA 51501",Apartment,1975,2,2,1248
806 N 34th St,"Council Bluffs, IA 51501",Apartment,770,1,1,625
310 W Cherry St,"Rogers, AR 72756",House,2700,2,1,1953
2033-2039 4th Ave,"Council Bluffs, IA 51501",Apartment,675,1,1,800
624 N 10th St,"Enid, OK 73701",House,695,2,1,
3930 Carissa Trce,"Cumming, GA 30040",House,5595,5,5.5+,5138
1540 Maria Dr,"Jackson, MS 39204",House,875,3,1,1046
51 Westwoods,"Amherst, OH 44001",Apartment,1099,2,2-Jan,
1327 Maria Dr,"Jackson, MS 39204",House,1015,3,1,1008
4263 W Nelson St Unit 4263-1,"Chicago, IL 60641",Apartment,1600,2,1,
320 Glensprings Dr,"Springdale, OH 45246",Apartment,1650,Studio+,1,300
3035 N Kilpatrick Ave Unit 2,"Chicago, IL 60641",House,1950,2,1,
4179 W Belmont Ave Unit 4177-002,"Chicago, IL 60641",Apartment,2700,2,2,1395
4179 W Belmont Ave Unit 4177-303,"Chicago, IL 60641",Apartment,3500,3,2,1425
2033 4th Ave,"Council Bluffs, IA 51501",Apartment,675,1,1,800
5201 W Cullom Ave Apt 3,"Chicago, IL 60641",Apartment,2850,3,2,
4060 Preferred Pl,"Dallas, TX 75237",Apartment,1370,2,2,913
40 Ratliff St Apt 1,"Blountsville, AL 35031",Condo,700,1,1,725
1215 Adams St,"Vicksburg, MS 39183",Other,1500,1,1,
4011 N Lowell Ave,"Chicago, IL 60641",Apartment,1525,1,1,650 - 675
501 Eric Ave,"Bowling Green, KY 42101",Apartment,725,2,1,900
3302 N Dixieland Rd,"Rogers, AR 72756",Apartment,1324,1,1,869
8320 Fairway Ln,"Rogers, AR 72756",House,2595,4,2.5,2535
5390 Shiloh Woods Dr,"Cumming, GA 30040",Apartment,2250,5,3.5,
3996 Stonehenge Ave,"Springdale, AR 72764",House,2700,4,3,2200
1372 Indianola St,"Bowling Green, KY 42101",Apartment,550,1,1,
3453 N Lowell Ave Unit 2,"Chicago, IL 60641",Apartment,2000,3,1,1050
6758 Campground Rd,"Cumming, GA 30040",House,2075,3,2,1374
5031 W Irving Park Rd Apt 1,"Chicago, IL 60641",Apartment,2295,2,2,1300
1414 Powell St,"Springdale, AR 72764",Condo,695,1,1,400
786 Lariat St Unit C,"Springdale, AR 72764",Townhome,1295,3,2.5,1441
224 S 8th St,"Council Bluffs, IA 51501",Apartment,700,2,1,
4030-34 N Milwaukee Ave,"Chicago, IL 60641",Apartment,1375,2,1,900
3702-B Locksley St,"Springdale, AR 72764",Apartment,1500,3,2,1477 - 1483
3810 S Thompson Ave Unit 30,"Springdale, AR 72764",House,1350,3,2,
3250 N Pulaski Rd Apt 315,"Chicago, IL 60641",House,1100,Studio,1,400
4336 N Pulaski Rd,"Chicago, IL 60641",Apartment,1950,Studio,1,
726 E Emma Ave,"Springdale, AR 72764",Apartment,1350,2,2,884
2321 Orchard St,"Springdale, AR 72764",Apartment,845,2,2,745
9857 Cedar Cove Ln,"Alexandria, KY 41001",House,2570,4,2.5,2788
528 Fox Chase Ct NW Unit 528,"Corydon, IN 47112",Townhome,950,2,1.5,950
5835 Weddington Dr,"Cumming, GA 30040",House,2400,3,2.5,2263
464 Labrador Dr,"Bowling Green, KY 42101",House,1650,3,2,1430
1142 Raymond Rd,"Jackson, MS 39204",Apartment,840,2,2,1040
429 Upper Stone Ave Apt C,"Bowling Green, KY 42101",Apartment,825,2,2,850
1517 Electric Ave,"Springdale, AR 72764",Apartment,744,Studio,1,540
261 Walnut Creek Ct Unit 261,"Bowling Green, KY 42101",Townhome,1200,2,2,1100
769 Alders Cove St,"Bowling Green, KY 42101",House,1950,3,2,1637
6002 Russellville Rd Apt 123,"Bowling Green, KY 42101",Apartment,825,1,1,625
618 W Eleventh St,"Traverse City, MI 49684",House,2600,2,1.5,1260
6550 Louisville Rd Unit A03,"Bowling Green, KY 42101",Apartment,705,1,1,560
4200 W Belmont Ave Unit 4214-2,"Chicago, IL 60641",Apartment,4200,3,3.5,
1515 Fawnvista Ln,"Cincinnati, OH 45246",House,1670,3,1,925
301 W Main St Ste B,"Albertville, AL 35950",Other,5000,Studio,0.5+,6111
580 E Randall Wobbe Ln,"Springdale, AR 72764",Apartment,980,2,1,675
2363 Foxridge Ct Apt 614,"Bowling Green, KY 42101",Apartment,1025,2,2,977
5430 Delmonte Dr,"Cumming, GA 30040",House,2750,4,3.5,2621
311 N Main St Apt 7,"Caseyville, IL 62232",House,775,2,1,785
5815 Asby Way Unit 15094382,"Cumming, GA 30040",House,2450,4,2.5,2150
6002 Russellville Rd # G811,"Bowling Green, KY 42101",Apartment,110,Studio+,,
3201 Renner Dr,"Council Bluffs, IA 51501",Apartment,988,2,1,971
529 Chestnut St Apt 109,"Bowling Green, KY 42101",Apartment,975,1,1,798
20466 Sonora Rd,"Springdale, AR 72764",House,1895,3,3,2406
3742 Humber Ct,"Cumming, GA 30040",Apartment,1530,3,2.5,
3632 Sydney Harbor Ln,"Cumming, GA 30040",House,2145,3,2.5,1904
249 Erin Pl,"Springdale, AR 72764",Apartment,1095,2,1,975
324 Walnut Creek Ct Unit 324,"Bowling Green, KY 42101",Townhome,1450,3,2.5,1300
5036 W Pensacola Ave Unit 401,"Chicago, IL 60641",Condo,2900,3,2,2100
2150 Heritage Way NW,"Corydon, IN 47112",Apartment,799,2,1,1050
3801 Gannon Ln,"Dallas, TX 75237",Condo/Townhome,814,Studio,1,403
8613 Old Hickory Trl,"Dallas, TX 75237",Condo/Townhome,1311,2,2,911
350 Bradley Park Ln,"Cumming, GA 30040",Apartment,1957,1,1,943
5995 Rolling Oaks Ln,"Cumming, GA 30040",House,2145,5,3,2159
3695 Moor Pointe Dr,"Cumming, GA 30040",House,2445,3,2.5,2136
4311 Woodhollow Dr,"Dallas, TX 75237",Apartment,1455,3,2,1365
6010 S Westmoreland Rd,"Dallas, TX 75237",Apartment,1358,1,1,621
5168 Lurline Dr Unit 1,"Jackson, MS 39204",Apartment,725,2,1,
5305 Vickery Cir,"Cumming, GA 30040",House,3600,4,3.5,3242
3318 N Leclaire Ave Unit 2S,"Chicago, IL 60641",Apartment,1595,2,1,
6665 Will Allen Rd,"Cumming, GA 30040",Condo,2250,1,1,700
5010 W Grace St Apt 2,"Chicago, IL 60641",Apartment,1650,2,1,1100
315 Texas Ln Apt 206,"Springdale, AR 72764",Condo,1249,3,2,1280
2785 Ruth Ave Unit B,"Springdale, AR 72764",House,1195,2,2,1056
4821 W Cornelia Ave,"Chicago, IL 60641",Apartment,2150,3,1,1100
1603 Azalea Cir,"Springdale, AR 72764",Apartment,975,2,1,900
4551 W Barry Ave Unit 1,"Chicago, IL 60641",Apartment,975,1,1,
1380 Old Quarry Rd Apt 1,"Ringgold, VA 24586",Apartment,700,2,1,
4514 W Wellington Ave Unit 2,"Chicago, IL 60641",Apartment,1250,1,1,
755 Lyon Loop,"Springdale, AR 72764",House,2600,4,3,2280
3250 N Pulaski Rd Apt 313,"Chicago, IL 60641",House,1100,Studio,1,400
4060 Preferred Pl,"Dallas, TX 75237",Apartment,1005,1,1,578
6002 Russellville Rd,"Bowling Green, KY 42101",Apartment,825,1,1,695
6002 Russellville Rd # G814,"Bowling Green, KY 42101",Apartment,110,Studio+,,
210 Creekwood Ave,"Bowling Green, KY 42101",Apartment,995,2,2,969
3827 Humber Ct,"Cumming, GA 30040",House,2785,4,2.5,2115
5522 W Berteau Ave Apt 2,"Chicago, IL 60641",Apartment,1900,2,1,945
4177 W Belmont Ave Unit 2,"Chicago, IL 60641",Condo,2700,2,2,
6002 Russellville Rd # 512,"Bowling Green, KY 42101",Apartment,825,1,1,695
851 Fitzhugh Dr,"Traverse City, MI 49684",Apartment,1575,4,1,1000
705 S Grant St,"Amarillo, TX 79101",Apartment,1495,1,1,1491
2985 N Oxford St,"Catawba County, NC 28610",Apartment,938,2,2,959
3400 Cove Creek Ct,"Cumming, GA 30040",House,2215,3,3,1788
4551 W Barry Ave Unit 3,"Chicago, IL 60641",Apartment,975,1,1,700
348 Upper Stone Ave Apt E,"Bowling Green, KY 42101",Apartment,900,2,2,1200
3201 Renner Dr,"Council Bluffs, IA 51501",Apartment,1150,3,2,1144
3929 N Keeler Ave Apt 2N,"Chicago, IL 60641",Apartment,1495,2,1,
4200 W Belmont Ave Unit 4210-3,"Chicago, IL 60641",Apartment,4725,4,3.5,
813 N Pleasant St Apt F,"Springdale, AR 72764",Condo,850,2,1,750
5125 Austrian Pine Ct,"Cumming, GA 30040",House,2890,4,2.5,2971
4819-21 W Cornelia Ave Unit 4821-1,"Chicago, IL 60641",Apartment,2100,3,1,1000
210 Creekwood Ave Apt C,"Bowling Green, KY 42101",Apartment,995,2,2,969
51 Bishopsgate Dr,"Cincinnati, OH 45246",Apartment,1200,1,1,618
7575 S Westmoreland Rd,"Dallas, TX 75237",Apartment,1495,3,2,1185
1380 Old Quarry Rd Unit 10,"Ringgold, VA 24586",Apartment,700,2,1,
4680 Trefoil # T,"Cumming, GA 30040",House,2795,5,3,2511
6640 Cold Stream Dr,"Cumming, GA 30040",House,2600,3,3,1762
2604 S Pierce St,"Amarillo, TX 79109",House,900,2,1,743
7202 S Westmoreland Rd Unit 53,"Dallas, TX 75237",Apartment,927,1,1,695
4819-21 W Cornelia Ave Unit 4819-1,"Chicago, IL 60641",Apartment,1775,2,1,
2244 Hickory St,"Bowling Green, KY 42101",Apartment,1100,2,2,957
2275 E Emma Ave,"Springdale, AR 72764",House,1695,3,2,1750
2175 Prospector Ct,"Bowling Green, KY 42101",Apartment,900,1,1,561
4570 Roseman Trl,"Cumming, GA 30040",House,2360,4,2.5,2438
3900 Investor Dr,"Dallas, TX 75237",Condo/Townhome,1587,3,2,1086
805 2nd Ave,"Council Bluffs, IA 51501",Apartment,600,1,1,
4300 W Montrose Ave Unit 2,"Chicago, IL 60641",Apartment,5000,5,2,2600
2005 Ashlee Dr,"Springdale, AR 72764",Apartment,1795,3,2,1450
Rochester Cir,"Springdale, AR 72764",Apartment,1350,2,2,1400
12047 Mallet Dr,"Cincinnati, OH 45246",House,1890,3,1,1026
6002 Russellville Rd # 511,"Bowling Green, KY 42101",Apartment,825,1,1,695
3837 Verde Glen Ln,"Cumming, GA 30040",Apartment,2300,4,2.5,1762
3242 N Pulaski Rd Apt 1,"Chicago, IL 60641",Condo,2000,3,2,1260
4223 I20 Frontage Rd,"Vicksburg, MS 39183",Apartment,1145,1,1,896
4715-4731 W Cornelia,"Chicago, IL 60641",Apartment,1475,2,1,
2219 Canton Hwy,"Cumming, GA 30040",House,1600,3,1,
2415 S 10th St Unit 1,"Council Bluffs, IA 51501",Apartment,1195,2,1,672
5111 W Montrose Ave,"Chicago, IL 60641",Apartment,1250,1,1,650
1604 W Stratton Dr,"Rogers, AR 72756",House,2000,3,2,1803
4311 Woodhollow Dr,"Dallas, TX 75237",Apartment,1016,1,1,550
4830 W Addison St Apt 2N,"Chicago, IL 60641",Apartment,1300,1,1,
5815 Asby Way,"Cumming, GA 30040",House,2450,4,2.5,2150
12300 S Lovell Ln,"Traverse City, MI 49684",Apartment,1562,2-Jan,2-Jan,768 - 1036
2960 Feiger Ln,"Traverse City, MI 49684",Apartment,492,1,1,
884 Palisades Ave,"Springdale, AR 72764",House,2195,4,2,1982
7550 S Westmoreland Rd,"Dallas, TX 75237",Apartment,936,Studio,1,509
5350 Prancing Pass,"Cumming, GA 30040",Apartment,1750,2,1,4674
7055 Quarry Rd,"Amherst, OH 44001",Apartment,1499,4,2,1344
6470 Waveland Dr,"Cumming, GA 30040",House,2600,3,2,1643
7270 Wyngate Dr,"Cumming, GA 30040",House,2935,4,2,2510
6068 Louisville Rd Apt 43,"Bowling Green, KY 42101",Apartment,985,2,2,1052
1224 Rubble Rd,"Cumming, GA 30040",Townhome,1995,3,2.5,1724
5620 Crestwick Way,"Cumming, GA 30040",House,2349,3,2.5,1921
1205 S Buchanan St,"Amarillo, TX 79101",Apartment,595,1,1,600
1595 W Highland Dr,"Jackson, MS 39204",Apartment,799,1,1,735
3890 Atlanta Hwy,"Cumming, GA 30040",House,3250,3,3.5,3500
6704 Ohana Pl,"Dallas, TX 75237",House,2185,4,2,1678
2917 S Apache St,"Amarillo, TX 79103",House,1300,3,1,985
4179 W Belmont Ave Unit 4177-304,"Chicago, IL 60641",Apartment,3700,3,2,1446
7136 Weatherstone Blvd,"Bowling Green, KY 42101",House,1850,3,2,
5815 Asby Way Unit 1,"Cumming, GA 30040",Apartment,2450,4,2.5,2150
6541 Fortuna Ct,"Bowling Green, KY 42101",Other,1595,3,2,1319
4101 N Cicero Ave,"Chicago, IL 60641",Apartment,1365,2,1,650
4200-08 N Milwaukee Ave/4948-52 N Berteau,"Chicago, IL 60641",Apartment,1275,1,1,
7550 S Westmoreland Rd,"Dallas, TX 75237",Apartment,1447,2,2,1020
101 Senior Ave,"Carthage, TX 75633",Apartment,492,1,1,
4819 4819,"Chicago, IL 60641",Apartment,1775,2,1,750
884 Palisades Ave Unit 1,"Springdale, AR 72764",Apartment,2195,4,2,1982
1520 Atokad Dr,"South Sioux City, NE 68776",Apartment,1150,3,2,1216
3810 S Thompson Ave Unit 21,"Springdale, AR 72764",House,1000,2,1,
5518 W Barry Ave,"Chicago, IL 60641",Apartment,1095,1,1,
1201 E Broadway Ave Apt B,"Enid, OK 73701",House,625,1,1,956
608 Black Oak Ave,"Springdale, AR 72764",Apartment,775,1,1,600
5141 W Roscoe St Apt 3,"Chicago, IL 60641",Apartment,1395,2,1,850
5235 Kings Hill Dr,"Cumming, GA 30040",Condo,2399,3,2.5,1908
1592 Collegeview Dr,"Bowling Green, KY 42101",Apartment,765,1,1,
1841 Dick Smith St,"Springdale, AR 72764",House,1895,3,2,1883
316 Erin Pl Apt 102,"Springdale, AR 72764",Condo,1100,2,1,974
4490 Woodstone Dr,"Bowling Green, KY 42101",Apartment,950,2,1,850
4207 W Roscoe St Unit 2,"Chicago, IL 60641",Apartment,2850,2,2,
3405 Trowbridge Dr,"Cumming, GA 30040",House,4595,5,3.5,5136
7015 Rocking Horse Ln,"Cumming, GA 30040",Apartment,2850,4,3,
3810 S Thompson Ave Unit 25,"Springdale, AR 72764",House,925,2,1,
3455 Maple Valley Dr,"Cumming, GA 30040",House,2275,3,2.5,1566
7245 Rocking Horse Ln,"Cumming, GA 30040",House,2995,5,4,3137
705 State St,"Bowling Green, KY 42101",Apartment,995,1,1,789
3750 Gadolinite Trl,"Cumming, GA 30040",House,2950,4,2.5,2012
1006 Tribble Gap Rd,"Cumming, GA 30040",Apartment,1000,1,1,613
4217 N Milwaukee Ave Unit 2R,"Chicago, IL 60641",Apartment,1075,1,1,500
4022 W Montrose Ave Unit St,"Chicago, IL 60641",Apartment,2750,Studio,2,
1600 Juniper Cir Apt B,"Springdale, AR 72764",Apartment,850,2,1,900
1222 Stone Marker Dr,"Monroe, NC 28112",House,2200,3,2,1680
165 Brookview Cir,"Goodlettsville, TN 37072",House,2630,4,3,2459
5201 Springlake Pkwy,"Haltom City, TX 76117",Condo/Townhome,1010,1,1,611
721 N 21st St,"Fort Smith, AR 72901",House,1295,3,2,1260
7608 Deaver Dr,"North Richland Hills, TX 76180",House,2390,3,2.5,2576
107 Brenton Ct,"Goodlettsville, TN 37072",House,2830,3,2,1775
220 College Park Cir,"North Little Rock, AR 72114",Apartment,520,Studio+,1,572
640 S Wagon Wheel Ave,"Fayetteville, AR 72704",House,2300,3,2,1843
314 E Compass Way,"Easley, SC 29640",Townhome,1749,3,2.5,1634
2785 Ruth Ave Unit B,"Springdale, AR 72764",House,1195,2,2,1056
10 Finger Cir,"Bella Vista, AR 72715",House,2140,3,2,1416
6100 Ashbury St Apt 3317,"North Richland Hills, TX 76180",Apartment,1425,1,1,726
790 Honey Locust Bnd,"Fayetteville, AR 72704",House,1395,2,2,694
1732 Stone St,"Union City, TN 38261",Apartment,725,1,1,648
8517 Newman Dr,"North Richland Hills, TX 76180",House,3600,4,3,2888
900 E Sunset Dr,"Monroe, NC 28112",Apartment,1313,3,1.5,1234
301 Mascot St,"Houston, TX 77029",Other,600,Studio,,
3405 Lindsay Dr,"Logansport, IN 46947",Apartment,850,1,1,780
1601 Weyland Dr # 1-1097,"North Richland Hills, TX 76180",Apartment,1591,2,2,1146
4553 W Divide Dr,"Fayetteville, AR 72704",House,1800,3,2,1463
2935 W 24th Ave,"Emporia, KS 66801",Apartment,795,2,2,1050
1604 S Brown Ave Unit 1604,"Sedalia, MO 65301",House,975,2,1,1080
6424 Iron Horse Blvd,"North Richland Hills, TX 76180",Apartment,1110,1,1,564
572 N Honey Locust Bnd,"Fayetteville, AR 72704",House,1395,2,2,694
2952 W 8th St,"Jacksonville, FL 32254",House,1095,3,1,1119
8500 Harwood Rd,"North Richland Hills, TX 76180",Condo/Townhome,1085,1,1,700
11207 Roxbury Dr Unit 2,"Omaha, NE 68137",Duplex/Triplex,1650,2,1.5,1242
130 Dry Creek Commons Dr,"Goodlettsville, TN 37072",Townhome,1795,2,2.5,1266
1601 Weyland Dr,"North Richland Hills, TX 76180",Apartment,934,1,1,529
704 N Harrison Ave Unit 200,"Sherman, TX 75090",Other,1395,3,2.5,1393
1405 Division St,"North Little Rock, AR 72114",Apartment,995,3,2,1670
504 Fairfax Townhomes / Apartments,"Logansport, IN 46947",Apartment,695,1,1,641
7260 Studebaker Ave,"Warren, MI 48091",House,1250,3,1,937
30 Cambria Dr,"Bella Vista, AR 72715",House,1700,3,2,1786
1312 Fosteria Ln Unit 1,"Monroe, NC 28112",House,1899,3,2,1496
612 Algoma St,"New London, WI 54961",Apartment,945,2,1,975
2406 Taft St,"Van Buren, AR 72956",House,1200,3,1.5,1220
1717-1719 Houston,"Fort Smith, AR 72901",Apartment,900,2,1,1050
5813 Texas Spur,"Seguin, TX 78155",House,1950,4,2,1627
404-406 Hudson St,"Seguin, TX 78155",Apartment,1475,3,2,1076
6897 Meadow Crest Dr,"North Richland Hills, TX 76180",Condo/Townhome,996,1,1,616
1007-1025 S 25th St,"Fort Smith, AR 72901",Apartment,650,2,1,
3778 Poplar Ave,"Warren, MI 48091",House,1150,2,1,1000
5501 Adams Dr,"Haltom City, TX 76117",Condo/Townhome,1395,3,1,1125
1911 Moss St,"North Little Rock, AR 72114",Apartment,695,2,1,784
728 N Honey Locust Ave,"Fayetteville, AR 72704",House,1395,2,2,694
Gasaway Properties,"Rome, GA 30161",Apartment,1350,3,1,
6424 Iron Horse Blvd # 12B,"North Richland Hills, TX 76180",Apartment,1559,2,2,884
2803 Meadow Wood Dr,"Sedalia, MO 65301",House,1095,3,1,1200
513 Wilson Ave SW,"Rome, GA 30161",House,1200,3,1,
6309 Iron Horse Blvd,"North Richland Hills, TX 76180",Apartment,2050,2,2,1232
2300 W Persimmon St,"Rogers, AR 72756",Apartment,900,2,1,850
21516 Dequindre Rd,"Warren, MI 48091",Apartment,770,1,1,725
8500 Harwood Rd,"North Richland Hills, TX 76180",Condo/Townhome,1771,4,2,1250
800 Brassie Ln Apt J,"Glen Allen, VA 23059",House,1500,1,1,890
213 Mulberry St Unit 1,"Waterloo, IA 50703",Apartment,950,4,1,
319 Clearwater St,"Houston, TX 77029",Other,1550,3,2,1314
903 Bedroom in Mid Century Mini Mansion Unit 903WALTER,"Monroe, NC 28112",Condo,699,1,1,100
106 W Main St Apt 14,"New Holland, PA 17557",Apartment,1050,2,1,500
11925 11925 S 2 Mile Rd,"Dexter, MO 63841",Apartment,695,2,1,896
6021 Parker Blvd,"North Richland Hills, TX 76180",Apartment,2455,3,2,1300
6654 Jannie St,"North Richland Hills, TX 76180",House,1800,3,1,1324
4205 Rufe Snow Dr,"North Richland Hills, TX 76180",Apartment,1139,1,1,626
3055 Dignan St Unit 1,"Jacksonville, FL 32254",House,1695,3,2,1050
1405 W Long 17th St,"North Little Rock, AR 72114",Apartment,550,1,1,600
213 Mulberry St,"Waterloo, IA 50703",House,950,4,1,
11401 Old Nuckols Rd,"Glen Allen, VA 23059",Apartment,1459,1,1,704
1622 N I St,"Fort Smith, AR 72901",Apartment,625,2,1,
630 Riverfront Park Dr Unit 123,"North Little Rock, AR 72114",Apartment,100,1,1,
4888 FM 467 Apt 2,"Seguin, TX 78155",Apartment,700,1,1,600
1070 Huron St,"Jacksonville, FL 32254",Apartment,1000,2,,850
116 E 10th Ave,"Hutchinson, KS 67501",Apartment,595,2,1,525
109 White Hall Ave,"White Hall, AR 71602",Apartment,700,2,0.5,
5001 Hickory Park Dr,"Glen Allen, VA 23059",Apartment,1251,2,2,835
10506 Swanee Mill Trce,"Glen Allen, VA 23059",Townhome,2900,4,4,2220
821 Garrison Ave Apt 10,"Fort Smith, AR 72901",House,950,2,1.5,1171
6309 Iron Horse Blvd,"North Richland Hills, TX 76180",Apartment,1495,Studio,1,592
